id,county_id,subcounty_id,name,code,createdAt,updatedAt
744,28,149,Kapchemutwa,ward744,2023-08-10T09:40:58.875+03:00,2023-08-10T09:40:58.875+03:00
745,28,150,Kaptarakwa,ward745,2023-08-10T09:40:58.876+03:00,2023-08-10T09:40:58.876+03:00
1346,46,270,Rigoma,ward1346,2023-08-10T09:40:59.409+03:00,2023-08-10T09:40:59.409+03:00
747,28,150,Soy North,ward747,2023-08-10T09:40:58.878+03:00,2023-08-10T09:40:58.878+03:00
748,28,150,Soy South,ward748,2023-08-10T09:40:58.880+03:00,2023-08-10T09:40:58.880+03:00
749,28,150,Kabiemit,ward749,2023-08-10T09:40:58.881+03:00,2023-08-10T09:40:58.881+03:00
1428,47,286,Mowlem,ward1428,2023-08-10T09:40:59.452+03:00,2023-08-10T09:40:59.452+03:00
750,28,150,Metkei,ward750,2023-08-10T09:40:58.882+03:00,2023-08-10T09:40:58.882+03:00
751,29,151,Songhor/soba,ward751,2023-08-10T09:40:58.883+03:00,2023-08-10T09:40:58.883+03:00
752,29,151,Tinderet,ward752,2023-08-10T09:40:58.884+03:00,2023-08-10T09:40:58.884+03:00
753,29,151,Chemilil/chemase,ward753,2023-08-10T09:40:58.885+03:00,2023-08-10T09:40:58.885+03:00
836,32,168,Biashara,ward836,2023-08-10T09:40:58.984+03:00,2023-08-10T09:40:58.984+03:00
754,29,151,Kapsimotwo,ward754,2023-08-10T09:40:58.886+03:00,2023-08-10T09:40:58.886+03:00
755,29,152,Kibwareng,ward755,2023-08-10T09:40:58.887+03:00,2023-08-10T09:40:58.887+03:00
756,42,238,Terik,ward756,2023-08-10T09:40:58.888+03:00,2023-08-10T09:40:58.888+03:00
757,29,152,Kemeloi-maraba,ward757,2023-08-10T09:40:58.889+03:00,2023-08-10T09:40:58.889+03:00
1047,37,210,Idakho South,ward1047,2023-08-10T09:40:59.193+03:00,2023-08-10T09:40:59.193+03:00
758,29,152,Kobujoi,ward758,2023-08-10T09:40:58.890+03:00,2023-08-10T09:40:58.890+03:00
759,29,152,Kaptumoi/kaboi,ward759,2023-08-10T09:40:58.891+03:00,2023-08-10T09:40:58.891+03:00
760,29,152,Koyo/ndurio,ward760,2023-08-10T09:40:58.892+03:00,2023-08-10T09:40:58.892+03:00
761,29,153,Nandi Hills,ward761,2023-08-10T09:40:58.893+03:00,2023-08-10T09:40:58.893+03:00
767,29,154,Lelmok/ngechek,ward767,2023-08-10T09:40:58.897+03:00,2023-08-10T09:40:58.897+03:00
762,29,153,Chepkunyuk,ward762,2023-08-10T09:40:58.893+03:00,2023-08-10T09:40:58.893+03:00
763,29,153,Ollessos,ward763,2023-08-10T09:40:58.894+03:00,2023-08-10T09:40:58.894+03:00
